Customer/Project,Sl. No.,Drawing Number,Rev. No.,Description,Amd. Code,ELSN,EL Date,Despatch Status,Despatch Date,Unit,Remarks
1834,1,0-06-741-06377,0, ARRGT. OF ATTCHT. ON FURNACE REAR ARCH FIN WELDED PANELS (F-11-1 TO F-11-14),A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,2,0-06-500-06393,0, ARRANGEMENT OF FURNACE WALL SOFA FIN WELDED PANEL REFS. F-OFA(H),A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,3,1-06-500-04917,0, ARRANGEMENT OF ATTACHMENTS ON WALL SOFA FIN WELDED PANEL REFS. F-OFA(H),A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,4,0-07-316-02253,1, ARRANGEMENT OF FURNACE REAR RISERS(F-15),A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,5,0-07-316-02254,1, ARRANGEMENT OF FURNACE REAR RISERS(F-15),A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,6,1-07-318-01322,0, ARRANGEMENT OF FURNACE FRONT RISERS (F-06),A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,7,1-07-318-01323,0, ARRANGEMENT OF FURNACE FRONT RISERS (F-06),A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,8,0-08-003-08157,1, ASSEMBLY OF FURNACE UPPER BUCKSTAYS  (LEFT SIDE WALL),A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,9,0-08-003-08157,1, ASSEMBLY OF FURNACE UPPER BUCKSTAYS  (LEFT SIDE WALL),A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,10,0-08-003-08169,1, ASSEMBLY OF FURNACE UPPER BUCKSTAYS  (RIGHT SIDE WALL),A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,11,0-08-003-08169,1, ASSEMBLY OF FURNACE UPPER BUCKSTAYS  (RIGHT SIDE WALL),A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,12,0-08-003-08244,0, DETALIS OF FURNACE UPPER BUCKSTAYS (SIDE WALL),A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,13,0-08-003-08245,0, DETALIS OF FURNACE UPPER BUCKSTAYS (SIDE WALL),A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,14,0-08-006-07322,3, PRODUCTION & ERECTION NOTES FOR INTERMEDIATE BUCKSTAYS,A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,15,0-08-006-07492,0, WELD DETAIL FOR ERECTION OF INTER. BUCKSTAYS,A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,16,0-08-006-08088,0, B.O.M OF FURNACE INTERMEDIATE BUCKSTAYS ARRANGEMENT,A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,17,0-08-006-08089,0, FURNACE INTERMEDIATE BUCKSTAYS ARRANGEMENT,A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,18,0-08-006-08090,0, FURNACE INTERMEDIATE BUCKSTAYS ARRANGEMENT,A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,19,0-08-006-08091,0, FURNACE INTERMEDIATE BUCKSTAYS ARRANGEMENT,A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,20,0-08-006-08092,0, FURNACE INTERMEDIATE BUCKSTAYS ARRANGEMENT,A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,21,0-08-006-08093,0, FURNACE INTERMEDIATE BUCKSTAYS ARRANGEMENT,A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,22,0-08-006-08094,0, FURNACE INTERMEDIATE BUCKSTAYS ARRANGEMENT,A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,23,0-08-006-08095,0, FURNACE INTERMEDIATE BUCKSTAYS ARRANGEMENT,A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,24,0-08-006-08096,0, FURNACE INTERMEDIATE BUCKSTAYS ARRANGEMENT,A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,25,0-08-006-08097,0, FURNACE INTERMEDIATE BUCKSTAYS ARRANGEMENT,A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,26,0-08-006-08098,0, FURNACE INTERMEDIATE BUCKSTAYSARRANGEMENT,A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,27,0-08-006-08099,1, FURNACE INTERMEDIATE BUCKSTAYS ARRANGEMENT,A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,28,1-08-000-06334,0, BUCKSTAY CORNER ARRANGEMENT (C-150),A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,29,1-08-000-06371,0, BUCKSTAY EXPAINSON MOVEMENT DIAGRAM,A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,30,2-08-006-02277,0, B.O.M OF FURNACE INTERMEDIATE BUCKSTAYS ARRANGEMENT,A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,31,0-11-717-05389,0, ARRANGEMENT OF B.P. REAR INTERMEDIATE PANELS (S-20I),A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,32,0-11-718-05462,0, ARRANGEMENT OF B.P. REAR LOWER PANELS (S-20L),A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,33,0-11-968-05484,0, ARRANGEMENT OF INTERMEDIATE SIDE PANELS,A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,34,0-11-968-05484,0, ARRANGEMENT OF INTERMEDIATE SIDE PANELS,A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,35,0-11-991-05463,0, ARRGT OF ATTACHMENTS ON SH FURNACE ROOF TUBES (CIRCUIT NO: S-04),A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,36,0-12-805-03725,0, ARRMNT. OF ATT. ON BP FRONT SCREEN TUBES,A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
1834,37,0-12-805-03726,0, ARRMNT. OF BP FRONT SCREEN TUBES (S-16),A ,0 ,2025-06-17,N ,2025-06-17,TP ,Hard Copies yet to be despatched
